name,Feedstock,Hydrochar,Hydrochar HHV,TOPSIS Score
stdSRU_sa_ub_190C_1hr,0.12260002335884243,0.0011552179902207678,0.03314607238637296,0.9108896478475209
stdBSG_sa_ub_220C_1hr,0.11737734079965415,0.0015263242838831055,0.04237399699792789,0.9092906989328179
stdBSG_sa_lb_220C_1hr,0.11910022217931857,0.0015081148570832146,0.041910753505371504,0.9078621073473194
stdSRU_190C_1hr,0.1288567341339683,0.0011352663244575223,0.0325260961894298,0.9033942482175206
stdSRU_sa_lb_190C_1hr,0.13192963745860392,0.0011178339111753977,0.03211159180164751,0.8997810147636864
stdBSG_220C_1hr,0.12370052047245267,0.0015170762404601982,0.05330593755316433,0.8936740710525752
rawSRU50_rawBSG50_sa_ub_220C_1hr,0.1338569063761153,0.001384126298866339,0.03894516021292323,0.8934491355807065
rawSRU50_rawBSG50_220C_1hr,0.13675137001673968,0.0013671118402899301,0.03850324349536568,0.8903406716791018
rawDCW50_rawBSG50_sa_lb_220C_1hr,0.08991434443741876,0.002317845681036183,0.06185905800871258,0.8887764672865033
stdBSG_sa_ub_250C_1hr,0.1263136460298124,0.00180747107298094,0.049710174137296864,0.887610346078045
rawSRU50_rawBSG50_sa_lb_220C_1hr,0.13965895028012437,0.0013513079212811368,0.03809253646023064,0.8871785890610675
rawDCW50_rawBSG50_220C_1hr,0.08973327526747532,0.0023407103456408993,0.0624330649938309,0.8871708239842491
stdBSG_sa_lb_250C_1hr,0.12807049237879628,0.0017842636058014267,0.049129441221981374,0.8867207063934011
rawDCW50_rawBSG50_sa_ub_220C_1hr,0.08956083355226538,0.002364329818636057,0.06302628278691622,0.8854949518998909
rawSRU33_rawDCW33_rawBSG33_sa_ub_250C_1hr,0.1280162034877479,0.0018244610058406065,0.049917098101035465,0.885152857065361
rawSRU33_rawDCW33_rawBSG33_250C_1hr,0.13006085489821934,0.0017946423625189408,0.049177124435612014,0.8842312233647096
rawSRU50_rawDCW50_sa_ub_250C_1hr,0.12762232093090886,0.0018572302270959643,0.05062435631597434,0.8841567682092549
rawSRU33_rawDCW33_rawBSG33_sa_lb_250C_1hr,0.13213758849310983,0.0017670473513902447,0.048492464438561644,0.883095950365493
rawSRU50_rawDCW50_250C_1hr,0.13074554977328948,0.0018069931448901168,0.04938189773099587,0.883015952284119
rawSRU50_rawDCW50_sa_lb_250C_1hr,0.13396046737234368,0.0017626528532551763,0.04828594890183477,0.881307574010073
